ConstituencyCodeW07,ConstituencyCode,ConstituencyNameEN,ChildrenUnder16InRelativePovertyAfterHousingCosts,PropChildrenUnder16InRelativePovertyAfterHousingCosts,CountEligibleForFreeSchoolMeals5to15.PrimarySchools,CountEligibleForFreeSchoolMeals5to15.SecondarySchools,CountEligibleForFreeSchoolMeals5to15.SpecialSchools,CountEligibleForFreeSchoolMeals5to15.MiddleSchools,CountEligibleForFreeSchoolMeals5to15.Total,CountAllPupils5to15.PrimarySchools,CountAllPupils5to15.SecondarySchools,CountAllPupils5to15.SpecialSchools,CountAllPupils5to15.MiddleSchools,CountAllPupils5to15.Total,PropIncDepUnder16,PropEligibleForFreeSchoolMeals5to15
W07000058,W09000003,Aberconwy,2298,0.24716491997241974,505,310,80,0,895,3325,2715,190,0,6230,0.2,0.14365971107544143
W07000043,W09000007,Alyn and Deeside,3598,0.22008436918258667,1110,730,0,0,1840,5595,4225,0,0,9820,0.18,0.18737270875763748
W07000057,W09000002,Arfon,2911,0.2646304965019226,585,435,25,0,1045,4045,3580,75,0,7700,0.2,0.1357142857142857
W07000062,W09000009,Clwyd South,3742,0.2655578553676605,1015,400,0,0,1415,4830,2545,0,0,7375,0.22,0.19186440677966102
W07000059,W09000004,Clwyd West,3235,0.26189759373664856,775,545,0,0,1320,4595,3490,0,0,8085,0.22,0.16326530612244897
W07000042,W09000006,Delyn,2901,0.23381954431533813,1055,720,55,0,1830,4975,4080,155,0,9210,0.21,0.1986970684039088
W07000060,W09000005,Vale of Clwyd,3596,0.26833757758140564,1260,825,105,260,2450,4815,3610,210,975,9610,0.29,0.25494276795005205
W07000044,W09000008,Wrexham,3470,0.25974902510643005,1060,825,85,0,1970,5375,4555,175,0,10105,0.23,0.1949529935675408
W07000041,W09000001,Ynys Môn,3535,0.29346367716789246,795,520,30,0,1345,4535,3235,80,0,7850,0.23,0.17133757961783438
W07000068,W09000041,Brecon and Radnorshire,3435,0.3199551999568939,530,355,35,0,920,4015,2945,80,0,7040,0.15,0.13068181818181818
W07000067,W09000015,Carmarthen East and Dinefwr,3529,0.2923057973384857,625,555,0,0,1180,4225,3380,0,0,7605,0.21,0.15516107823800132
W07000066,W09000016,Carmarthen West and South Pembs.,3955,0.30192917585372925,795,660,20,0,1475,4955,4470,35,0,9460,0.21,0.1559196617336152
W07000064,W09000012,Ceredigion,3339,0.30438461899757385,450,315,0,250,1015,3390,2435,0,1805,7630,0.19,0.13302752293577982
W07000061,W09000010,Dwyfor Meirionnydd,3023,0.3070639371871948,315,230,30,85,660,3065,2255,85,920,6325,0.17,0.10434782608695652
W07000045,W09000017,Llanelli,4535,0.2901638448238373,1330,820,40,0,2190,5810,3915,80,0,9805,0.27,0.2233554309026007
W07000063,W09000011,Montgomeryshire,3302,0.3162733018398285,465,385,50,50,950,3535,3225,125,385,7270,0.16,0.13067400275103164
W07000065,W09000014,Preseli Pembrokeshire,4376,0.3142335116863251,760,515,40,80,1395,4595,3530,115,935,9175,0.23,0.15204359673024523
W07000049,W09000022,Aberavon,3348,0.2726742625236511,1210,190,0,715,2115,3975,655,0,2660,7290,0.33,0.29012345679012347
W07000073,W09000023,Bridgend,3413,0.23146209120750427,1055,535,130,0,1720,5795,3835,300,0,9930,0.22,0.1732124874118832
W07000046,W09000018,Gower,2938,0.21262668073177338,735,585,0,0,1320,5460,4720,0,0,10180,0.17,0.12966601178781925
W07000069,W09000021,Neath,3341,0.2639702558517456,1085,715,125,165,2090,4825,3895,235,1205,10160,0.25,0.20570866141732283
W07000074,W09000045,Ogmore,3997,0.26597273349761963,1355,845,0,40,2240,5195,4000,0,595,9790,0.28,0.22880490296220635
W07000048,W09000020,Swansea East,4772,0.2979905605316162,1765,1265,45,0,3075,5650,4830,105,0,10585,0.34,0.29050543221539915
W07000047,W09000019,Swansea West,3551,0.29305437207221985,1165,645,15,0,1825,4815,2985,30,0,7830,0.26,0.2330779054916986
W07000050,W09000031,Cardiff Central,3804,0.284690797328949,1225,465,100,0,1790,5555,3090,250,0,8895,0.27,0.20123664980326025
W07000051,W09000042,Cardiff North,2946,0.17800326645374298,640,1040,80,0,1760,5785,6195,120,0,12100,0.14,0.14545454545454545
W07000080,W09000043,Cardiff South and Penarth,7335,0.315861314535141,2410,1280,70,0,3760,8760,5070,210,0,14040,0.32,0.2678062678062678
W07000079,W09000029,Cardiff West,5641,0.28777411580085754,1945,1565,95,0,3605,7610,6435,160,0,14205,0.31,0.25378387891587467
W07000070,W09000026,Cynon Valley,4395,0.326704204082489,1435,990,85,0,2510,5055,4475,145,0,9675,0.33,0.2594315245478036
W07000075,W09000046,Pontypridd,3465,0.23077860474586487,875,560,50,360,1845,4970,3590,140,2100,10800,0.2,0.17083333333333334
W07000052,W09000025,Rhondda,4284,0.334130197763443,1345,605,75,520,2545,4510,2450,140,1780,8880,0.35,0.2865990990990991
W07000078,W09000047,Vale of Glamorgan,4482,0.23503054678440094,1210,625,0,65,1900,7230,4425,0,1040,12695,0.22,0.14966522252855455
W07000072,W09000038,Blaenau Gwent,3867,0.317085862159729,950,290,80,645,1965,3565,1380,160,2570,7675,0.33,0.25602605863192185
W07000076,W09000035,Caerphilly,4700,0.27371564507484436,1425,920,50,0,2395,6395,4090,120,0,10605,0.26,0.22583686940122583
W07000077,W09000036,Islwyn,3610,0.2579715847969055,1080,900,0,0,1980,5190,5270,0,0,10460,0.25,0.18929254302103252
W07000071,W09000044,Merthyr Tydfil and Rhymney,4398,0.3043094873428345,1180,565,50,260,2055,5050,2965,130,800,8945,0.31,0.22973728339854668
W07000054,W09000034,Monmouth,2859,0.2054351270198822,645,555,15,0,1215,4930,4060,15,0,9005,0.14,0.13492504164353136
W07000055,W09000040,Newport East,5206,0.3115410804748535,1350,910,0,0,2260,6320,3975,0,0,10295,0.28,0.21952404079650314
W07000056,W09000039,Newport West,5050,0.2835143208503723,1210,910,55,0,2175,6870,6190,165,0,13225,0.25,0.16446124763705103
W07000053,W09000037,Torfaen,4528,0.28877297043800354,1675,1030,45,0,2750,5855,4275,90,0,10220,0.28,0.2690802348336595
